State,Median Household Income(2012),Median Household Income(2013),Median Household Income(2014),Median Household Income(2015),Median Household Income(2016),Median Household Income(2017),Median Household Income(2018),Median Household Income(2019),Median Household Income(2020),Median Household Income(2021),Median Household Income(2022),Believe in God; absolutely certain(2014),Percent of Advanced Degree(2014),Marriage Rate(2014)
AL,53970.0,58050.0,51140.0,53880.0,56660.0,59980.0,57720.0,64010.0,61650.0,61390.0,59910.0,82.0,8.8,7.8
AK,79030.0,88910.0,81800.0,90920.0,90860.0,91960.0,79450.0,89290.0,84260.0,87490.0,89740.0,55.0,9.6,7.5
AZ,58410.0,64540.0,59580.0,63250.0,68510.0,70390.0,71990.0,80500.0,75620.0,76370.0,73450.0,62.0,10.3,5.8
AR,48450.0,48310.0,54340.0,51810.0,55080.0,58660.0,57540.0,62120.0,57240.0,54760.0,53980.0,77.0,7.5,10.1
CA,70800.0,74580.0,73170.0,77030.0,79960.0,82580.0,81480.0,88960.0,87530.0,87960.0,85300.0,54.0,11.8,6.4
CO,71090.0,83310.0,73710.0,80610.0,84670.0,88420.0,84420.0,82580.0,94440.0,91610.0,89930.0,55.0,14.3,7.1
CT,79770.0,85010.0,84870.0,88230.0,91100.0,87620.0,84160.0,99420.0,89540.0,87300.0,90730.0,54.0,16.7,5.4
DE,60810.0,66360.0,69580.0,69910.0,69650.0,76600.0,75140.0,84510.0,78930.0,74070.0,80750.0,61.0,12.3,6.0
DC,81010.0,73680.0,82590.0,84820.0,85170.0,95840.0,99110.0,106100.0,99440.0,97740.0,101700.0,55.0,30.6,11.8
FL,57210.0,59540.0,55810.0,59100.0,61400.0,62600.0,63160.0,66480.0,65110.0,64410.0,65370.0,64.0,9.8,7.3
GA,59750.0,57650.0,59940.0,61450.0,64230.0,68370.0,64520.0,64500.0,66810.0,66310.0,67730.0,74.0,10.8,
HI,69860.0,78800.0,86150.0,78090.0,86550.0,86780.0,92590.0,100200.0,91110.0,88630.0,91010.0,62.0,10.5,17.7
ID,59500.0,59460.0,64640.0,62490.0,67870.0,70160.0,67880.0,75160.0,75220.0,82940.0,72580.0,62.0,8.3,8.4
IL,64240.0,66170.0,66430.0,73130.0,73650.0,77790.0,81080.0,84740.0,83790.0,85460.0,78020.0,61.0,12.7,6.2
IN,57310.0,60670.0,58130.0,62930.0,67310.0,69290.0,69230.0,75960.0,75310.0,75690.0,70030.0,63.0,8.9,7.1
IA,66360.0,73800.0,69930.0,73660.0,70900.0,74840.0,79430.0,75240.0,77570.0,78100.0,76320.0,66.0,9.0,6.9
KS,62090.0,58670.0,64650.0,66410.0,68160.0,67090.0,73900.0,83320.0,82380.0,81930.0,73040.0,66.0,11.3,6.1
KY,51020.0,55060.0,51750.0,51310.0,54440.0,58570.0,63060.0,63400.0,63980.0,59980.0,55880.0,75.0,9.2,6.9
LA,48530.0,56950.0,51290.0,55590.0,50630.0,51370.0,57760.0,58890.0,57700.0,61690.0,58330.0,75.0,7.8,6.9
ME,61040.0,67420.0,62550.0,61440.0,61020.0,62870.0,67810.0,75800.0,71800.0,76710.0,75160.0,48.0,10.0,7.7
MD,89200.0,85080.0,92130.0,89090.0,88500.0,96800.0,99660.0,108900.0,106900.0,105000.0,108200.0,64.0,17.5,6.5
MA,79040.0,76710.0,76390.0,82150.0,86710.0,89900.0,99800.0,99900.0,98980.0,93340.0,93550.0,40.0,18.0,5.6
MI,62100.0,69400.0,62910.0,65610.0,68500.0,66510.0,69870.0,73030.0,72590.0,69540.0,68990.0,63.0,10.8,5.8
MN,76730.0,78910.0,81340.0,83200.0,84250.0,82510.0,83010.0,92740.0,88770.0,86740.0,90390.0,56.0,11.6,5.9
MS,45500.0,39670.0,42970.0,48460.0,49310.0,51030.0,49450.0,51010.0,50880.0,50290.0,48610.0,82.0,8.0,6.9
MO,61790.0,56800.0,68500.0,71660.0,66010.0,66660.0,71350.0,69020.0,70090.0,68570.0,71520.0,70.0,10.4,6.7
MT,55980.0,53000.0,61810.0,62210.0,68480.0,67690.0,66670.0,68560.0,63960.0,70090.0,72980.0,64.0,9.8,7.9
NE,64810.0,70690.0,68790.0,73200.0,71240.0,70260.0,78110.0,83230.0,81440.0,84220.0,78360.0,66.0,9.3,6.4
NV,58770.0,63600.0,60330.0,62960.0,66510.0,68440.0,71510.0,80760.0,68950.0,69380.0,72330.0,59.0,7.9,31.9
NH,84210.0,84770.0,88780.0,91600.0,91500.0,89180.0,94020.0,98980.0,100200.0,95800.0,84970.0,43.0,13.3,7.2
NJ,82810.0,78210.0,78920.0,82750.0,82150.0,84000.0,85740.0,99920.0,96430.0,95490.0,92340.0,60.0,14.3,5.4
NM,53920.0,49280.0,56470.0,54620.0,58130.0,53770.0,55810.0,60500.0,57380.0,57650.0,56420.0,63.0,11.4,8.1
NY,59200.0,61300.0,65690.0,70210.0,73720.0,72570.0,77760.0,81840.0,77400.0,78630.0,75910.0,56.0,14.9,6.7
NC,51600.0,56850.0,56590.0,61490.0,64510.0,58420.0,61690.0,69660.0,68120.0,67820.0,65070.0,73.0,10.1,6.9
ND,69240.0,72570.0,73460.0,69500.0,72210.0,70950.0,76870.0,79760.0,72270.0,74280.0,78720.0,64.0,7.6,6.3
OH,55100.0,62260.0,60050.0,64520.0,64770.0,71560.0,71240.0,73650.0,68060.0,67600.0,67520.0,67.0,10.1,5.8
OK,60110.0,56630.0,57090.0,56990.0,61120.0,61180.0,62920.0,67650.0,59150.0,64800.0,63440.0,71.0,8.1,7.1
OR,64290.0,60110.0,71220.0,73640.0,70950.0,73690.0,79950.0,84760.0,86630.0,88260.0,86780.0,57.0,11.6,6.8
PA,64450.0,67670.0,66740.0,73100.0,73170.0,72260.0,74580.0,80390.0,79800.0,78310.0,72210.0,61.0,11.4,5.8
RI,69610.0,69100.0,70920.0,67430.0,73830.0,77120.0,71970.0,79900.0,90380.0,80850.0,80650.0,60.0,12.3,6.7
SC,55130.0,53440.0,54350.0,56120.0,65200.0,64310.0,66400.0,70650.0,68020.0,67440.0,61770.0,74.0,9.6,7.6
SD,61360.0,65530.0,64170.0,66660.0,68930.0,67110.0,68730.0,73190.0,79120.0,79680.0,67180.0,69.0,7.8,7.1
TN,53390.0,53200.0,52880.0,57290.0,61610.0,65210.0,64800.0,64500.0,61970.0,67030.0,65380.0,78.0,9.1,8.4
TX,64480.0,63070.0,65170.0,68360.0,69770.0,70860.0,69100.0,76820.0,77110.0,72680.0,74640.0,69.0,9.6,6.9
UT,72440.0,74890.0,76670.0,80200.0,80970.0,82290.0,89080.0,96270.0,94680.0,94510.0,95800.0,61.0,10.3,7.3
VT,69010.0,80370.0,73430.0,72020.0,73000.0,75090.0,80990.0,84630.0,75810.0,82040.0,72190.0,41.0,14.0,8.7
VA,80250.0,80850.0,80020.0,74430.0,79730.0,83500.0,89180.0,92610.0,92670.0,86550.0,85170.0,67.0,15.9,6.7
WA,77220.0,78420.0,71450.0,81400.0,84360.0,84360.0,92150.0,93910.0,91710.0,94510.0,89430.0,55.0,12.1,7.0
WV,54080.0,52840.0,47840.0,51840.0,53220.0,55370.0,58460.0,61170.0,58580.0,50500.0,52460.0,77.0,7.4,6.7
WI,65910.0,63460.0,70250.0,67090.0,71770.0,74850.0,72390.0,76720.0,75980.0,75420.0,73330.0,56.0,9.5,5.7
WY,71410.0,82740.0,67360.0,73750.0,69390.0,70200.0,72290.0,74190.0,73780.0,76620.0,73090.0,66.0,8.7,7.7
